Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Glsp90,Astp90,G+Ap90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90,Tkl,TklW,DTkl,DTklAtt,Tkl%,Blocks,Int,Clr,Cmp,Att,Cmp%,PTotDist,PPrgDist,A-xAG,KP,1/3,PPA
Josip Stanišić,CRO,DF,Leverkusen,Bundesliga,23,2000,20,13,1261,14.0,3,1,4,3,0,0,3,0,0.8,0.8,1.7,2.4,0.21,0.07,0.29,0.05,0.12,0.17,0.05,0.17,38,20,22,33,66.7,18,9,26,961,1077,89.2,14733,4167,-0.7,11,88,20
Joško Gvardiol,CRO,DF,Manchester City,Premier League,21,2002,28,26,2328,25.9,4,1,5,4,0,0,3,0,3.1,3.1,1.4,4.5,0.15,0.04,0.19,0.12,0.06,0.18,0.12,0.18,55,33,21,38,55.3,36,27,37,1671,1919,87.1,25207,6169,-0.4,18,141,16
Josuha Guilavogui,FRA,DF,Mainz 05,Bundesliga,32,1990,11,5,409,4.5,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0.0,0.22,0.22,0.0,0.02,0.02,0.0,0.02,15,10,6,7,85.7,13,13,21,155,180,86.1,2781,1138,0.9,1,6,1
Juan Cruz Armada,ESP,DF,Osasuna,La Liga,31,1992,26,18,1667,18.5,0,1,1,0,0,0,3,0,0.0,0.0,0.4,0.4,0.0,0.05,0.05,0.0,0.02,0.02,0.0,0.02,27,15,17,25,68.0,14,12,39,712,941,75.7,12473,5357,0.6,5,69,9
Juan Cuadrado,COL,DF,Inter,Serie A,35,1988,10,0,267,3.0,0,2,2,0,0,0,1,0,0.2,0.2,1.6,1.7,0.0,0.67,0.67,0.06,0.52,0.59,0.06,0.59,4,3,3,5,60.0,6,1,2,158,189,83.6,2799,632,0.4,9,11,5
Juan David Cabal,COL,DF,Hellas Verona,Serie A,22,2001,22,17,1497,16.6,0,0,0,0,0,0,6,0,0.5,0.5,0.4,0.9,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,36,27,18,29,62.1,30,26,55,561,790,71.0,9888,4415,-0.4,12,57,10
Juan Foyth,ARG,DF,Villarreal,La Liga,25,1998,12,12,1062,11.8,1,1,2,1,0,0,1,0,0.4,0.4,0.9,1.3,0.08,0.08,0.17,0.03,0.08,0.11,0.03,0.11,26,15,12,27,44.4,17,12,44,565,690,81.9,9309,3470,0.1,5,50,7
Juan Herzog,ESP,DF,Las Palmas,La Liga,20,2003,4,3,292,3.2,2,0,2,2,0,0,1,0,0.7,0.7,0.0,0.7,0.62,0.0,0.62,0.21,0.0,0.21,0.21,0.21,6,5,3,6,50.0,4,2,17,195,220,88.6,2675,1152,0.0,0,2,0
Juan Jesus,BRA,DF,Napoli,Serie A,32,1991,24,23,2116,23.5,1,0,1,1,0,0,7,0,1.3,1.3,0.3,1.6,0.04,0.0,0.04,0.06,0.01,0.07,0.06,0.07,42,19,23,33,69.7,23,23,67,1547,1709,90.5,29632,9837,-0.3,5,67,2
Juan Miranda,ESP,DF,Betis,La Liga,23,2000,25,21,1858,20.6,1,1,2,1,0,0,8,0,1.6,1.6,1.9,3.6,0.05,0.05,0.1,0.08,0.09,0.17,0.08,0.17,38,24,17,31,54.8,31,19,62,913,1166,78.3,15668,7497,-0.9,23,64,32
Juanlu Sánchez,ESP,DF,Sevilla,La Liga,19,2003,26,11,1181,13.1,0,2,2,0,0,0,2,0,0.9,0.9,1.1,2.0,0.0,0.15,0.15,0.07,0.09,0.15,0.07,0.15,56,35,34,58,58.6,24,12,36,577,730,79.0,8548,2813,0.9,17,37,20
Juanpe,ESP,DF,Girona,La Liga,32,1991,17,6,746,8.3,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,11,8,9,10,90.0,17,7,50,500,550,90.9,9290,3239,0.0,0,8,0
Jules Koundé,FRA,DF,Barcelona,La Liga,24,1998,35,32,2899,32.2,1,2,3,1,0,0,4,0,2.0,2.0,2.2,4.2,0.03,0.06,0.09,0.06,0.07,0.13,0.06,0.13,37,23,28,51,54.9,32,25,83,2478,2757,89.9,41514,13135,-0.2,23,267,20
Julian Araujo,MEX,DF,Las Palmas,La Liga,21,2001,25,15,1462,16.2,1,0,1,1,0,0,5,0,0.7,0.7,1.2,1.9,0.06,0.0,0.06,0.04,0.07,0.11,0.04,0.11,41,22,23,33,69.7,23,10,52,680,831,81.8,11255,3943,-1.2,16,69,12
Julian Chabot,GER,DF,Köln,Bundesliga,25,1998,32,32,2703,30.0,0,0,0,0,0,0,9,1,1.4,1.4,0.4,1.8,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,59,42,35,59,59.3,66,45,145,1361,1616,84.2,25807,10115,-0.4,9,81,5
Julián Malatini,ARG,DF,Werder Bremen,Bundesliga,22,2001,11,6,602,6.7,1,0,1,1,0,0,1,0,1.0,1.0,0.2,1.2,0.15,0.0,0.15,0.15,0.04,0.18,0.15,0.18,18,13,16,24,66.7,8,13,26,295,364,81.0,5104,1552,-0.2,4,29,3
Julian Ryerson,NOR,DF,Dortmund,Bundesliga,25,1997,21,20,1767,19.6,4,1,5,4,0,0,3,0,1.8,1.8,2.7,4.5,0.2,0.05,0.25,0.09,0.14,0.23,0.09,0.23,41,23,27,47,57.4,31,10,35,974,1129,86.3,14916,3144,-1.7,14,46,7
Julien Laporte,FRA,DF,Lorient,Ligue 1,29,1993,23,20,1818,20.2,0,0,0,0,0,0,4,0,0.8,0.8,0.0,0.8,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,23,14,16,36,44.4,36,11,116,883,1023,86.3,18687,7085,0.0,1,66,7
Julien Le Cardinal,FRA,DF,Brest,Ligue 1,25,1997,12,5,473,5.3,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.4,0.0,0.0,0.0,0.05,0.02,0.08,0.05,0.08,19,11,8,12,66.7,6,13,26,212,258,82.2,4339,1880,-0.1,2,18,0
Julien Le Cardinal,FRA,DF,Lens,Ligue 1,25,1997,2,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,4,9,44.4,2,0,0,23,32,71.9,435,201,0.0,0,2,0
Junior Sambia,FRA,"DF,MF",Salernitana,Serie A,26,1996,18,10,1032,11.5,1,2,3,1,0,0,4,0,0.5,0.5,0.9,1.4,0.09,0.17,0.26,0.05,0.07,0.12,0.05,0.12,12,5,6,11,54.5,15,11,28,397,508,78.1,6404,2412,1.1,12,30,10
Jurriën Timber,NED,DF,Arsenal,Premier League,22,2001,2,1,71,0.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,,1,0,1,66,74,89.2,982,221,0.0,0,11,0
Kaelan Casey,ENG,DF,West Ham,Premier League,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,1,0,0,,0,0,0.0,0,0,0
Kaiky,BRA,DF,Almería,La Liga,19,2004,8,5,523,5.8,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.3,0.17,0.0,0.17,0.04,0.0,0.04,0.04,0.04,7,4,3,6,50.0,9,3,29,217,263,82.5,4550,1819,0.0,1,18,1
Kamil Piątkowski,POL,DF,Granada,La Liga,23,2000,9,6,505,5.6,0,0,0,0,0,0,1,1,0.8,0.8,0.1,0.9,0.0,0.0,0.0,0.14,0.02,0.17,0.14,0.17,18,10,10,14,71.4,6,8,28,197,230,85.7,3809,1273,-0.1,2,8,1
Kasim Nuhu,GHA,DF,Hoffenheim,Bundesliga,28,1995,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,1,3,33.3,25,0,0.0,0,0,0
Kassoum Ouattara,FRA,"DF,FW",Monaco,Ligue 1,18,2004,14,7,636,7.1,1,0,1,1,0,0,2,0,1.3,1.3,1.3,2.6,0.14,0.0,0.14,0.18,0.19,0.37,0.18,0.37,17,12,9,20,45.0,11,13,20,213,329,64.7,3743,1188,-1.3,6,15,6
Kelvin Amian,FRA,DF,Nantes,Ligue 1,25,1998,12,11,798,8.9,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.6,0.0,0.11,0.11,0.01,0.07,0.07,0.01,0.07,16,7,11,15,73.3,6,7,28,268,350,76.6,4336,1782,0.4,5,26,4
Kenneth Schmidt,GER,DF,Freiburg,Bundesliga,21,2002,5,0,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.02,0.09,0.12,0.02,0.12,2,2,2,4,50.0,1,1,2,43,48,89.6,749,239,-0.1,2,2,1
Kenny Lala,MAD,DF,Brest,Ligue 1,31,1991,33,33,2970,33.0,2,3,5,2,0,0,7,0,0.5,0.5,3.3,3.8,0.06,0.09,0.15,0.01,0.1,0.12,0.01,0.12,78,51,30,56,53.6,27,28,75,1713,2195,78.0,35548,12428,-0.3,35,164,45
Kenny Tete,NED,DF,Fulham,Premier League,27,1995,14,10,867,9.6,1,0,1,1,0,0,2,0,0.9,0.9,0.4,1.2,0.1,0.0,0.1,0.09,0.04,0.13,0.09,0.13,27,17,11,19,57.9,10,16,35,418,523,79.9,6413,2614,-0.4,3,45,10
Keven Schlotterbeck,GER,DF,Bochum,Bundesliga,26,1997,27,24,2185,24.3,5,1,6,5,0,0,9,0,2.0,2.0,0.6,2.7,0.21,0.04,0.25,0.08,0.03,0.11,0.08,0.11,42,22,25,30,83.3,33,33,104,802,1027,78.1,15211,6371,0.4,10,53,5
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,28,1995,17,11,1097,12.2,0,0,0,0,0,0,7,0,0.3,0.3,0.3,0.6,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05,35,18,26,35,74.3,28,18,32,611,711,85.9,10584,3879,-0.3,5,71,2
Kevin Bonifazi,ITA,DF,Frosinone,Serie A,27,1996,6,3,309,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,5,3,2,3,66.7,1,3,9,123,145,84.8,2029,731,-0.1,1,12,1
Kevin Bonifazi,ITA,DF,Bologna,Serie A,27,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,2,50.0,0,0,7,72,82,87.8,1259,518,0.0,0,3,0
Kevin Danso,AUT,DF,Lens,Ligue 1,24,1998,30,30,2655,29.5,1,0,1,1,0,0,6,0,1.8,1.8,0.4,2.2,0.03,0.0,0.03,0.06,0.01,0.07,0.06,0.07,24,14,15,30,50.0,43,23,115,1508,1719,87.7,27659,10926,-0.4,8,122,6
Kévin Keben Biakolo,CMR,DF,Toulouse,Ligue 1,19,2004,8,7,521,5.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,4,2,3,6,50.0,7,8,17,209,260,80.4,3723,1447,-0.1,3,13,0
Kevin Mbabu,SUI,DF,Augsburg,Bundesliga,28,1995,25,22,2047,22.7,0,2,2,0,0,0,5,0,0.1,0.1,1.9,2.1,0.0,0.09,0.09,0.01,0.09,0.09,0.01,0.09,51,39,23,40,57.5,29,24,48,644,1020,63.1,11482,5396,0.1,20,64,30
Kevin Miranda,ITA,DF,Sassuolo,Serie A,20,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,1,9,10,90.0,165,43,0.0,0,0,0
Kevin Vázquez,ESP,DF,Celta Vigo,La Liga,30,1993,12,10,700,7.8,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.03,15,13,12,21,57.1,11,5,25,287,379,75.7,4674,1967,-0.2,3,23,7
Kevin Vogt,GER,DF,Union Berlin,Bundesliga,31,1991,16,16,1323,14.7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,9,6,12,50.0,22,7,72,652,735,88.7,15023,5955,0.0,1,31,2
Kevin Vogt,GER,DF,Hoffenheim,Bundesliga,31,1991,16,14,1319,14.7,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.8,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05,14,10,8,13,61.5,16,9,54,813,939,86.6,17137,7528,-0.1,2,79,11
Kieran Tierney,SCO,DF,Real Sociedad,La Liga,26,1997,20,14,1238,13.8,0,2,2,0,0,0,1,0,0.2,0.2,0.6,0.8,0.0,0.15,0.15,0.01,0.05,0.06,0.01,0.06,37,24,18,27,66.7,22,10,45,690,904,76.3,12195,5053,1.4,8,73,12
Kieran Trippier,ENG,DF,Newcastle Utd,Premier League,32,1990,28,26,2236,24.8,1,10,11,1,0,0,5,0,0.7,0.7,7.5,8.2,0.04,0.4,0.44,0.03,0.3,0.33,0.03,0.33,57,27,37,77,48.1,41,24,57,1624,2130,76.2,29797,10999,2.5,65,111,52
Kike Salas,ESP,DF,Sevilla,La Liga,21,2002,23,19,1605,17.8,3,0,3,3,0,0,10,0,0.8,0.8,0.5,1.4,0.17,0.0,0.17,0.05,0.03,0.08,0.05,0.08,41,23,22,36,61.1,25,26,91,794,1009,78.7,13465,4857,-0.5,5,54,6
Kiko Femenía,ESP,DF,Villarreal,La Liga,32,1991,23,16,1583,17.6,0,0,0,0,0,0,8,1,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,35,25,19,34,55.9,21,31,45,939,1121,83.8,15374,5968,-0.6,7,84,6
Kilian Fischer,GER,"DF,MF",Wolfsburg,Bundesliga,22,2000,6,4,291,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.07,8,6,2,5,40.0,8,1,12,104,148,70.3,1728,588,-0.1,2,5,3
Kiliann Sildillia,FRA,DF,Freiburg,Bundesliga,21,2002,27,20,1806,20.1,0,1,1,0,0,0,2,1,0.6,0.6,0.8,1.4,0.0,0.05,0.05,0.03,0.04,0.07,0.03,0.07,43,19,26,42,61.9,33,22,64,847,1167,72.6,15116,5689,0.2,11,61,19
Kim Min-jae,KOR,DF,Bayern Munich,Bundesliga,26,1996,25,22,1970,21.9,1,1,2,1,0,0,3,0,0.8,0.8,0.4,1.2,0.05,0.05,0.09,0.04,0.02,0.05,0.04,0.05,37,24,12,24,50.0,29,45,70,1986,2139,92.8,33551,13144,0.6,8,129,2
Kingsley Ehizibue,NED,DF,Udinese,Serie A,28,1995,23,11,955,10.6,0,1,1,0,0,0,4,0,1.3,1.3,0.7,2.0,0.0,0.09,0.09,0.12,0.07,0.19,0.12,0.19,22,14,11,18,61.1,21,8,36,175,257,68.1,2722,928,0.3,8,10,7
Klaus Gjasula,ALB,"DF,MF",Darmstadt 98,Bundesliga,33,1989,22,17,1363,15.1,0,0,0,0,0,0,7,1,0.5,0.5,0.2,0.6,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,44,22,17,30,56.7,26,19,42,615,746,82.4,12270,4995,-0.2,6,58,13
Ko Itakura,JPN,"DF,MF",Gladbach,Bundesliga,26,1997,20,18,1596,17.7,3,0,3,3,0,0,9,0,1.3,1.3,0.2,1.5,0.17,0.0,0.17,0.08,0.01,0.09,0.08,0.09,34,21,16,26,61.5,32,22,62,798,910,87.7,14351,4876,-0.2,5,41,3
Koffi Djidji,CIV,DF,Torino,Serie A,30,1992,13,8,759,8.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,14,9,3,4,75.0,10,10,20,372,434,85.7,6282,2034,0.0,0,17,0
Koffi Kouao,CIV,DF,Metz,Ligue 1,25,1998,13,10,860,9.6,0,2,2,0,0,0,2,0,0.2,0.2,1.5,1.7,0.0,0.21,0.21,0.02,0.16,0.18,0.02,0.18,20,13,11,17,64.7,9,13,38,317,401,79.1,5434,2296,0.5,6,23,7
Koni De Winter,BEL,DF,Genoa,Serie A,21,2002,29,26,2380,26.4,0,1,1,0,0,0,8,1,0.8,0.8,1.0,1.8,0.0,0.04,0.04,0.03,0.04,0.07,0.03,0.07,44,25,21,31,67.7,30,21,78,1122,1269,88.4,19280,6416,0.0,5,54,5
Konrad Laimer,AUT,"DF,MF",Bayern Munich,Bundesliga,26,1997,29,18,1772,19.7,0,3,3,0,0,0,3,0,1.0,1.0,3.9,4.9,0.0,0.15,0.15,0.05,0.2,0.25,0.05,0.25,56,36,22,52,42.3,42,18,13,1294,1457,88.8,19611,5056,-0.9,24,104,26
Konstantinos Mavropanos,GRE,DF,West Ham,Premier League,25,1997,19,16,1500,16.7,1,0,1,1,0,0,2,0,1.2,1.2,0.2,1.4,0.06,0.0,0.06,0.07,0.01,0.08,0.07,0.08,28,16,17,21,81.0,21,23,79,482,635,75.9,9625,3911,-0.2,3,29,1
Kostas Manolas,GRE,DF,Salernitana,Serie A,32,1991,8,6,488,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,9,5,6,8,75.0,10,2,20,276,303,91.1,5479,1918,-0.1,1,7,3
Kostas Tsimikas,GRE,DF,Liverpool,Premier League,27,1996,13,8,679,7.5,0,3,3,0,0,0,0,0,0.1,0.1,1.0,1.1,0.0,0.4,0.4,0.01,0.14,0.15,0.01,0.15,19,13,9,15,60.0,9,6,10,383,500,76.6,6585,1715,2.0,16,16,7
Krépin Diatta,SEN,"DF,FW",Monaco,Ligue 1,24,1999,26,12,1206,13.4,0,2,2,0,0,0,2,0,0.5,0.5,1.8,2.3,0.0,0.15,0.15,0.04,0.13,0.17,0.04,0.17,37,20,27,49,55.1,17,16,22,602,787,76.5,9825,3682,0.2,23,46,22
Kristoffer Ajer,NOR,DF,Brentford,Premier League,25,1998,28,21,1832,20.4,2,1,3,2,0,0,5,0,1.3,1.3,2.3,3.6,0.1,0.05,0.15,0.06,0.11,0.18,0.06,0.18,38,21,23,36,63.9,26,25,79,610,810,75.3,10210,3786,-1.3,12,56,10
Kurt Zouma,FRA,DF,West Ham,Premier League,28,1994,33,32,2838,31.5,3,0,3,3,0,0,3,0,1.8,1.8,0.2,2.0,0.1,0.0,0.1,0.06,0.01,0.06,0.06,0.06,23,17,10,16,62.5,38,29,160,962,1148,83.8,18843,6791,-0.2,4,57,1
Kyle Walker,ENG,DF,Manchester City,Premier League,33,1990,32,30,2767,30.7,0,4,4,0,0,0,2,0,0.4,0.4,2.6,3.0,0.0,0.13,0.13,0.01,0.09,0.1,0.01,0.1,38,24,19,39,48.7,19,27,40,2128,2404,88.5,36091,8306,1.4,25,199,32
Lautaro Gianetti,ARG,DF,Udinese,Serie A,29,1993,7,7,630,7.0,1,0,1,1,0,0,4,0,0.4,0.4,0.1,0.4,0.14,0.0,0.14,0.06,0.01,0.06,0.06,0.06,9,4,4,5,80.0,10,19,39,263,300,87.7,5442,2072,-0.1,1,7,0
Layvin Kurzawa,FRA,DF,Paris S-G,Ligue 1,30,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,13,13,100.0,206,38,0.0,0,0,0
Leart Paqarada,KVX,DF,Köln,Bundesliga,28,1994,17,11,1075,11.9,0,0,0,0,0,0,0,0,0.4,0.4,1.7,2.1,0.0,0.0,0.0,0.03,0.14,0.17,0.03,0.17,21,11,11,22,50.0,17,10,30,490,717,68.3,8479,3953,-1.7,22,34,17
Leny Yoro,FRA,DF,Lille,Ligue 1,17,2005,32,30,2673,29.7,2,0,2,2,0,0,5,0,1.5,1.5,0.1,1.7,0.07,0.0,0.07,0.05,0.0,0.06,0.05,0.06,36,25,17,31,54.8,20,36,97,1731,1880,92.1,31353,9753,-0.1,2,52,1
Leo Skiri Østigård,NOR,DF,Napoli,Serie A,23,1999,25,18,1625,18.1,1,0,1,1,0,0,3,0,0.6,0.6,0.1,0.7,0.06,0.0,0.06,0.03,0.0,0.04,0.03,0.04,24,12,6,11,54.5,18,16,65,1172,1339,87.5,22293,8252,-0.1,3,68,4
Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,24,1999,27,26,2271,25.2,2,0,2,2,0,0,6,1,0.9,0.9,0.2,1.0,0.08,0.0,0.08,0.03,0.01,0.04,0.03,0.04,79,50,49,67,73.1,38,51,91,1402,1628,86.1,26569,9543,-0.2,5,115,3
Leonardo Bonucci,ITA,DF,Union Berlin,Bundesliga,36,1987,7,6,460,5.1,1,0,1,0,1,1,0,0,0.8,0.0,0.3,0.3,0.2,0.0,0.2,0.15,0.06,0.22,0.0,0.06,6,5,4,4,100.0,5,7,16,190,248,76.6,4063,1911,-0.3,2,17,2
Leonardo Cerri,ITA,DF,Juventus,Serie A,20,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,2,0.0,0,0,0.0,0,0,0
Leonardo Spinazzola,ITA,DF,Roma,Serie A,30,1993,24,15,1312,14.6,1,2,3,1,0,0,0,0,0.2,0.2,3.0,3.2,0.07,0.14,0.21,0.02,0.21,0.22,0.02,0.22,15,7,8,18,44.4,8,3,15,663,849,78.1,11631,3209,-1.0,27,32,48
Leonidas Stergiou,SUI,DF,Stuttgart,Bundesliga,21,2002,15,6,594,6.6,1,0,1,1,0,0,0,0,0.4,0.4,0.4,0.8,0.15,0.0,0.15,0.05,0.06,0.11,0.05,0.11,15,8,9,13,69.2,8,5,13,308,364,84.6,4390,1434,-0.4,5,18,7
Levi Colwill,ENG,DF,Chelsea,Premier League,20,2003,23,20,1797,20.0,1,1,2,1,0,0,2,0,1.3,1.3,1.2,2.5,0.05,0.05,0.1,0.06,0.06,0.12,0.06,0.12,48,30,26,34,76.5,28,26,66,965,1163,83.0,16310,5939,-0.2,7,82,6
Lewis Dunk,ENG,DF,Brighton,Premier League,31,1991,33,33,2869,31.9,3,1,4,3,0,0,7,1,3.1,3.1,0.9,4.0,0.09,0.03,0.13,0.1,0.03,0.12,0.1,0.12,27,14,13,36,36.1,49,31,90,2977,3233,92.1,50791,19478,0.1,13,204,8
Lewis Hall,ENG,DF,Newcastle Utd,Premier League,18,2004,18,8,781,8.7,1,0,1,1,0,0,2,0,0.3,0.3,0.3,0.6,0.12,0.0,0.12,0.04,0.03,0.07,0.04,0.07,28,18,17,28,60.7,17,12,22,452,552,81.9,7570,3083,-0.3,3,41,3
Liberato Cacace,NZL,DF,Empoli,Serie A,22,2000,31,18,1912,21.2,0,1,1,0,0,0,6,0,0.4,0.4,1.7,2.1,0.0,0.05,0.05,0.02,0.08,0.1,0.02,0.1,40,24,24,38,63.2,23,19,56,832,1110,75.0,14084,5589,-0.7,21,67,13
Lilian Brassier,FRA,DF,Brest,Ligue 1,23,1999,30,30,2677,29.7,3,0,3,3,0,0,11,1,1.1,1.1,0.6,1.6,0.1,0.0,0.1,0.04,0.02,0.06,0.04,0.06,31,18,12,24,50.0,28,41,93,1503,1810,83.0,33730,12106,-0.6,6,114,8
Lisandro Martínez,ARG,DF,Manchester Utd,Premier League,25,1998,11,8,646,7.2,0,1,1,0,0,0,3,0,0.0,0.0,0.1,0.1,0.0,0.14,0.14,0.0,0.01,0.01,0.0,0.01,12,8,5,12,41.7,10,5,26,411,446,92.2,6870,2103,0.9,3,29,1
Lloyd Kelly,ENG,DF,Bournemouth,Premier League,24,1998,23,17,1559,17.3,0,1,1,0,0,0,2,0,0.3,0.3,1.2,1.6,0.0,0.06,0.06,0.02,0.07,0.09,0.02,0.09,24,19,14,25,56.0,22,13,67,673,906,74.3,13526,4407,-0.2,9,76,7
Logan Costa,CPV,DF,Toulouse,Ligue 1,22,2001,31,29,2650,29.4,1,1,2,1,0,0,6,0,1.4,1.4,0.6,2.0,0.03,0.03,0.07,0.05,0.02,0.07,0.05,0.07,40,24,15,24,62.5,42,23,120,1491,1784,83.6,29121,12198,0.4,6,129,6
Loïc Bade,FRA,DF,Sevilla,La Liga,23,2000,28,27,2277,25.3,0,1,1,0,0,0,5,1,0.9,0.9,0.5,1.3,0.0,0.04,0.04,0.04,0.02,0.05,0.04,0.05,65,41,30,49,61.2,23,38,116,1113,1346,82.7,21547,8244,0.5,9,79,1
Loïc Nego,HUN,"DF,MF",Le Havre,Ligue 1,32,1991,28,18,1561,17.3,0,3,3,0,0,0,3,0,1.3,1.3,1.0,2.3,0.0,0.17,0.17,0.08,0.06,0.13,0.08,0.13,37,26,18,30,60.0,12,16,17,481,639,75.3,7463,3221,2.0,13,30,19
Lorenz Assignon,TOG,DF,Burnley,Premier League,23,2000,15,15,1234,13.7,1,2,3,1,0,0,5,1,0.4,0.4,2.6,3.0,0.07,0.15,0.22,0.03,0.19,0.22,0.03,0.22,35,17,14,27,51.9,22,19,43,352,485,72.6,5411,1984,-0.6,13,16,10
Lorenz Assignon,TOG,DF,Rennes,Ligue 1,23,2000,14,12,1011,11.2,1,1,2,1,0,0,4,0,0.4,0.4,1.8,2.2,0.09,0.09,0.18,0.04,0.16,0.2,0.04,0.2,24,12,9,24,37.5,9,9,27,516,600,86.0,8700,2414,-0.8,20,32,12
Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,35,1988,15,7,674,7.5,2,0,2,2,0,0,0,0,0.2,0.2,0.0,0.2,0.27,0.0,0.27,0.03,0.0,0.03,0.03,0.03,10,8,4,7,57.1,9,6,27,373,432,86.3,5791,1916,0.0,0,20,1
Lorenzo Pirola,ITA,DF,Salernitana,Serie A,21,2002,27,24,1987,22.1,1,0,1,1,0,0,4,0,0.9,0.9,0.0,0.9,0.05,0.0,0.05,0.04,0.0,0.04,0.04,0.04,39,23,15,28,53.6,46,25,93,868,1040,83.5,14823,5563,0.0,1,33,1
Lorenzo Venuti,ITA,DF,Lecce,Serie A,28,1995,14,3,364,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,0.0,0.0,0.0,0.02,0.07,0.1,0.02,0.1,6,4,6,10,60.0,4,5,14,174,219,79.5,3279,1045,-0.3,4,17,2
Loris Mouyokolo,FRA,DF,Lorient,Ligue 1,22,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,1,100.0,1,0,3,48,55,87.3,781,285,0.0,0,0,0
Luc Zogbé,CIV,DF,Brest,Ligue 1,18,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,1,1,0,5,7,71.4,57,12,0.0,0,0,0
Luca Caldirola,ITA,DF,Monza,Serie A,32,1991,29,23,2141,23.8,1,1,2,1,0,0,7,1,0.5,0.5,0.6,1.1,0.04,0.04,0.08,0.02,0.03,0.04,0.02,0.04,25,14,13,22,59.1,26,29,53,1247,1374,90.8,23794,7803,0.4,5,60,1
