Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Glsp90,Astp90,G+Ap90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90,Sh,SoT,SoT%,Sh/90,SoT/90,ShDist,npxG/Sh,G-xG,Cmp,Att,Cmp%,PTotDist,PPrgDist,A-xAG,KP,1/3,PPA,PrgC,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,TOAtt,TOSucc,TOSucc%,Tkld,Tkld%,Carries,CTotDist,CPrgDist,C1/3,CPA,Rec
Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22,2001,15,0,105,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.05,0.1,0.16,0.05,0.16,2,1,50.0,1.71,0.86,12.1,0.03,-0.1,18,30,60.0,181,36,-0.1,1,0,1,1,5,54,2,7,32,18,6,3,0,0.0,2,66.7,29,141,48,1,0,33
Junya Ito,JPN,"FW,MF",Reims,Ligue 1,30,1993,31,31,2714,30.2,3,7,10,3,0,0,2,0,4.5,4.5,11.5,16.0,0.1,0.23,0.33,0.15,0.38,0.53,0.15,0.53,46,15,32.6,1.53,0.5,16.6,0.1,-1.5,741,1131,65.5,12890,5184,-4.5,80,82,58,123,287,1428,15,134,538,776,100,108,54,50.0,46,42.6,1069,7115,3389,76,35,1026
Justin Diehl,GER,"FW,MF",Köln,Bundesliga,18,2004,7,1,168,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.0,0.0,0.0,0.12,0.1,0.23,0.12,0.23,7,2,28.6,3.75,1.07,23.1,0.03,-0.2,41,64,64.1,657,189,-0.2,5,1,2,6,17,96,2,11,31,54,10,15,8,53.3,6,40.0,55,500,204,2,5,57
Justin Kumi,ITA,FW,Sassuolo,Serie A,19,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,2,2,100.0,41,15,0.0,0,1,0,0,0,2,0,0,2,0,0,0,0,,0,,0,0,0,0,0,2
Justin Njinmah,GER,FW,Werder Bremen,Bundesliga,22,2000,24,10,1016,11.3,6,2,8,6,0,0,1,0,4.9,4.9,2.4,7.3,0.53,0.18,0.71,0.44,0.21,0.65,0.44,0.65,33,14,42.4,2.92,1.24,16.2,0.15,1.1,146,215,67.9,1980,397,-0.4,13,6,9,36,95,378,5,39,145,206,57,67,26,38.8,32,47.8,248,1845,900,27,21,267
Kaide Gordon,ENG,FW,Liverpool,Premier League,18,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,1,1,100.0,16,11,0.0,0,0,0,0,0,2,0,0,0,2,1,0,0,,0,,0,0,0,0,0,0
Kaio Jorge,BRA,FW,Frosinone,Serie A,21,2002,20,8,812,9.0,3,0,3,2,1,2,2,0,5.4,3.8,0.3,4.2,0.33,0.0,0.33,0.6,0.03,0.64,0.43,0.46,25,12,48.0,2.77,1.33,14.9,0.16,-2.4,116,159,73.0,1586,205,-0.3,8,7,2,6,46,245,0,9,118,123,43,18,5,27.8,13,72.2,140,577,183,6,4,160
Kaoru Mitoma,JPN,FW,Brighton,Premier League,26,1997,19,15,1486,16.5,3,4,7,3,0,0,4,0,3.5,3.5,2.7,6.2,0.18,0.24,0.42,0.21,0.16,0.37,0.21,0.37,34,15,44.1,2.06,0.91,13.2,0.1,-0.5,509,650,78.3,6210,1486,1.3,25,23,34,121,239,852,17,79,270,514,136,94,39,41.5,44,46.8,616,4879,3147,54,62,677
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21,2002,21,10,913,10.1,3,1,4,3,0,0,6,1,3.5,3.5,2.0,5.5,0.3,0.1,0.39,0.34,0.2,0.54,0.34,0.54,23,10,43.5,2.27,0.99,14.6,0.15,-0.5,218,299,72.9,2929,719,-1.0,9,9,10,52,96,458,10,69,170,227,63,60,18,30.0,32,53.3,310,2413,1171,22,27,318
Karim Onisiwo,AUT,"FW,MF",Mainz 05,Bundesliga,31,1992,24,17,1493,16.6,1,3,4,1,0,0,1,0,2.3,2.3,1.3,3.7,0.06,0.18,0.24,0.14,0.08,0.22,0.14,0.22,33,7,21.2,1.99,0.42,14.8,0.07,-1.3,205,338,60.7,2977,710,1.7,16,19,9,26,111,538,12,45,211,285,77,45,19,42.2,17,37.8,323,1742,653,18,9,398
Karl Etta,CMR,FW,Cádiz,La Liga,19,2003,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,2,2,100.0,15,1,0.0,0,0,0,0,1,4,0,0,3,1,0,0,0,,0,,2,4,0,0,0,2
Karol Świderski,POL,"FW,MF",Hellas Verona,Serie A,26,1997,15,3,504,5.6,2,0,2,2,0,0,0,0,1.7,1.7,0.4,2.2,0.36,0.0,0.36,0.31,0.08,0.39,0.31,0.39,15,6,40.0,2.68,1.07,13.7,0.12,0.3,84,120,70.0,1154,281,-0.4,8,5,4,3,19,200,6,25,89,88,22,11,3,27.3,7,63.6,107,364,126,3,2,124
Keane Lewis-Potter,ENG,"FW,DF",Brentford,Premier League,22,2001,30,15,1441,16.0,3,1,4,3,0,0,0,0,6.3,6.3,1.7,8.0,0.19,0.06,0.25,0.39,0.11,0.5,0.39,0.5,43,20,46.5,2.69,1.25,12.8,0.15,-3.3,289,415,69.6,4218,969,-0.7,13,11,14,56,135,604,32,107,173,330,84,58,21,36.2,33,56.9,370,2822,1632,32,24,417
Keinan Davis,ENG,"FW,MF",Udinese,Serie A,25,1998,8,0,186,2.1,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.6,0.48,0.0,0.48,0.24,0.04,0.28,0.24,0.28,6,3,50.0,2.9,1.45,14.9,0.08,0.5,36,50,72.0,512,122,-0.1,3,3,2,2,15,76,3,8,20,50,9,5,3,60.0,1,20.0,41,334,74,1,3,61
Keito Nakamura,JPN,"FW,MF",Reims,Ligue 1,23,2000,25,17,1381,15.3,4,1,5,4,0,0,1,0,3.2,3.2,1.3,4.5,0.26,0.07,0.33,0.21,0.09,0.29,0.21,0.29,41,12,29.3,2.67,0.78,16.5,0.08,0.8,292,400,73.0,4714,1083,-0.3,14,28,16,48,141,570,11,78,227,280,66,32,19,59.4,13,40.6,424,2780,1412,24,17,396
Kelvin Yeboah,ITA,FW,Montpellier,Ligue 1,23,2000,13,0,276,3.1,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.7,0.0,0.0,0.0,0.15,0.08,0.24,0.15,0.24,6,3,50.0,1.96,0.98,15.3,0.08,-0.5,58,79,73.4,762,190,-0.3,5,3,0,9,25,126,7,23,43,61,18,14,8,57.1,4,28.6,89,615,280,6,6,85
Kenan Yıldız,TUR,"FW,MF",Juventus,Serie A,18,2005,27,9,952,10.6,2,0,2,2,0,0,3,0,1.6,1.6,1.1,2.7,0.19,0.0,0.19,0.15,0.1,0.26,0.15,0.26,19,7,36.8,1.8,0.66,16.6,0.09,0.4,284,349,81.4,3984,1191,-1.1,18,21,13,32,73,461,7,58,196,218,36,40,23,57.5,12,30.0,311,2178,1175,31,11,365
Kevin Behrens,GER,FW,Wolfsburg,Bundesliga,32,1991,13,7,616,6.8,1,1,2,1,0,0,1,0,1.6,1.6,0.9,2.5,0.15,0.15,0.29,0.23,0.13,0.36,0.23,0.36,11,6,54.5,1.61,0.88,11.6,0.15,-0.6,112,175,64.0,1539,251,0.1,8,9,8,7,41,239,5,12,97,132,30,8,3,37.5,5,62.5,110,391,143,3,3,175
Kevin Behrens,GER,FW,Union Berlin,Bundesliga,32,1991,18,14,1262,14.0,4,0,4,4,0,0,3,0,6.0,6.0,0.9,6.9,0.29,0.0,0.29,0.43,0.06,0.5,0.43,0.5,41,13,31.7,2.92,0.93,10.8,0.15,-2.0,215,336,64.0,3380,842,-0.9,16,24,7,11,93,499,21,43,226,235,69,7,4,57.1,3,42.9,244,985,342,13,4,372
Kévin Gameiro,FRA,"FW,MF",Strasbourg,Ligue 1,36,1987,27,15,1346,15.0,4,2,6,2,2,2,0,0,3.4,1.9,2.7,4.6,0.27,0.13,0.4,0.23,0.18,0.41,0.12,0.31,27,10,37.0,1.81,0.67,19.8,0.07,0.6,373,461,80.9,5374,1194,-0.7,24,28,10,26,81,571,5,51,272,256,46,13,7,53.8,5,38.5,448,2487,909,25,10,428
Kevin Paredes,USA,"FW,MF",Wolfsburg,Bundesliga,20,2003,28,15,1432,15.9,3,0,3,3,0,0,4,0,3.0,3.0,1.4,4.3,0.19,0.0,0.19,0.19,0.09,0.27,0.19,0.27,19,7,36.8,1.19,0.44,16.7,0.16,0.0,455,592,76.9,6756,2043,-1.4,17,29,17,34,112,809,24,180,325,311,35,40,14,35.0,19,47.5,478,2330,1043,24,8,527
Kevin Schade,GER,"FW,MF",Brentford,Premier League,21,2001,11,3,333,3.7,2,1,3,2,0,0,0,0,1.2,1.2,0.7,1.9,0.54,0.27,0.81,0.32,0.19,0.52,0.32,0.52,8,4,50.0,2.16,1.08,15.8,0.15,0.8,58,95,61.1,819,220,0.3,4,8,3,8,23,148,3,17,59,73,19,14,2,14.3,10,71.4,84,631,283,3,5,98
Kévin Van Den Kerkhof,ALG,"FW,MF",Metz,Ligue 1,27,1996,29,21,1913,21.3,1,2,3,1,0,0,2,0,1.5,1.5,3.5,5.0,0.05,0.09,0.14,0.07,0.16,0.24,0.07,0.24,21,7,33.3,0.99,0.33,19.3,0.07,-0.5,315,551,57.2,5347,1621,-1.5,21,11,20,65,145,782,33,156,274,381,42,72,31,43.1,40,55.6,525,4446,1886,62,11,476
Kevin Volland,GER,"FW,MF",Union Berlin,Bundesliga,31,1992,26,17,1345,14.9,3,4,7,1,2,3,3,2,5.3,2.9,2.6,5.6,0.2,0.27,0.47,0.36,0.18,0.53,0.2,0.37,33,10,30.3,2.21,0.67,19.7,0.09,-2.3,258,420,61.4,4382,1570,1.4,20,30,18,14,96,575,9,77,250,252,51,18,6,33.3,12,66.7,284,1145,394,9,8,387
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,1,1,100.0,8,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,,1,3,0,0,0,1
Khalil Fayad,FRA,"FW,MF",Montpellier,Ligue 1,19,2004,23,11,1025,11.4,3,0,3,3,0,0,2,0,1.9,1.9,0.5,2.4,0.26,0.0,0.26,0.17,0.04,0.21,0.17,0.21,17,7,41.2,1.49,0.61,18.9,0.11,1.1,276,345,80.0,4324,1087,-0.5,8,31,4,18,47,473,12,95,242,139,24,23,10,43.5,11,47.8,338,1944,832,14,4,307
Khvicha Kvaratskhelia,GEO,FW,Napoli,Serie A,22,2001,34,32,2737,30.4,11,6,17,11,0,0,8,0,11.1,11.1,6.8,17.9,0.36,0.2,0.56,0.37,0.23,0.59,0.36,0.59,128,45,35.2,4.21,1.48,18.8,0.09,-0.1,965,1200,80.4,15513,2850,-0.8,63,46,34,184,266,1642,10,108,641,926,196,220,101,45.9,98,44.5,1119,9260,4776,108,81,1296
Kieffer Moore,WAL,"FW,MF",Bournemouth,Premier League,30,1992,8,0,108,1.2,1,0,1,1,0,0,0,0,1.5,1.5,0.2,1.7,0.83,0.0,0.83,1.23,0.2,1.44,1.23,1.44,6,2,33.3,5.0,1.67,12.5,0.25,-0.5,28,42,66.7,272,91,-0.2,2,2,2,2,15,53,0,2,21,30,12,3,1,33.3,1,33.3,29,93,34,0,0,47
Kiké,ESP,"FW,MF",Alavés,La Liga,33,1989,33,15,1423,15.8,3,2,5,3,0,1,3,0,7.7,6.9,2.0,8.9,0.19,0.13,0.32,0.49,0.13,0.61,0.44,0.56,56,23,41.1,3.54,1.45,13.1,0.12,-4.7,200,301,66.4,2973,589,0.0,18,15,8,18,97,517,18,51,199,280,108,33,15,45.5,14,42.4,300,1319,472,10,12,392
Kike Barja,ESP,"FW,MF",Osasuna,La Liga,26,1997,16,3,303,3.4,0,0,0,0,0,0,3,0,0.2,0.2,0.5,0.7,0.0,0.0,0.0,0.07,0.14,0.2,0.07,0.2,4,2,50.0,1.19,0.59,14.1,0.06,-0.2,83,114,72.8,1232,240,-0.5,5,0,6,17,41,165,5,15,55,98,14,22,11,50.0,8,36.4,109,712,357,8,5,128
Kingsley Coman,FRA,FW,Bayern Munich,Bundesliga,27,1996,17,15,1113,12.4,3,3,6,3,0,0,1,0,2.8,2.8,3.8,6.6,0.24,0.24,0.49,0.22,0.31,0.53,0.22,0.53,34,8,23.5,2.75,0.65,17.6,0.08,0.2,528,647,81.6,8358,1597,-0.8,29,19,41,75,210,802,4,75,220,513,93,67,29,43.3,32,47.8,560,4124,2204,35,35,661
Kingstone Mutandwa,ZAM,"FW,MF",Cagliari,Serie A,20,2003,5,0,39,0.4,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,2.31,0.0,2.31,0.17,0.0,0.17,0.17,0.17,2,1,50.0,4.62,2.31,19.1,0.04,0.9,3,9,33.3,48,0,0.0,0,0,0,1,2,22,2,4,12,7,2,3,1,33.3,2,66.7,10,53,28,1,0,12
Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,28,1995,7,1,169,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.03,0.1,0.12,0.03,0.12,2,0,0.0,1.07,0.0,19.1,0.03,-0.1,45,59,76.3,600,72,-0.2,4,4,1,0,24,83,2,3,44,36,3,5,2,40.0,3,60.0,59,272,42,4,1,66
Kylian Mbappé,FRA,FW,Paris S-G,Ligue 1,24,1998,29,24,2158,24.0,27,7,34,21,6,8,4,0,21.0,14.5,5.7,20.2,1.13,0.29,1.42,0.87,0.24,1.11,0.6,0.84,112,50,44.6,4.67,2.09,18.3,0.13,6.0,801,965,83.0,12061,2391,1.3,40,73,44,114,286,1264,1,31,441,801,207,133,61,45.9,62,46.6,1148,6749,3213,69,66,1130
Lameck Banda,ZAM,FW,Lecce,Serie A,22,2001,21,17,1350,15.0,2,4,6,2,0,0,5,1,3.6,3.6,1.9,5.5,0.13,0.27,0.4,0.24,0.13,0.37,0.24,0.37,50,23,46.0,3.33,1.53,19.8,0.07,-1.6,250,342,73.1,3877,745,2.1,24,12,17,70,136,602,2,75,231,315,61,99,42,42.4,50,50.5,414,3556,1752,34,34,404
Lamine Yamal,ESP,FW,Barcelona,La Liga,16,2007,37,22,2201,24.5,5,5,10,5,0,0,3,0,5.2,5.2,6.2,11.4,0.2,0.2,0.41,0.21,0.25,0.47,0.21,0.47,58,21,36.2,2.37,0.86,17.5,0.09,-0.2,903,1132,79.8,12868,3009,-1.2,38,39,52,123,350,1475,14,118,460,923,147,160,70,43.8,58,36.3,1023,6622,3889,78,57,1157
Largie Ramazani,BEL,"FW,MF",Almería,La Liga,22,2001,29,16,1555,17.3,3,5,8,3,0,0,11,2,4.7,4.7,5.7,10.5,0.17,0.29,0.46,0.27,0.33,0.6,0.27,0.6,40,12,30.0,2.32,0.69,17.5,0.12,-1.7,203,340,59.7,3265,1275,-0.7,26,26,16,59,104,578,11,90,251,263,59,74,31,41.9,38,51.4,381,3109,1775,41,27,396
Lautaro Martínez,ARG,FW,Inter,Serie A,25,1997,33,31,2656,29.5,24,3,27,22,2,3,5,0,17.6,15.3,3.6,18.8,0.81,0.1,0.91,0.6,0.12,0.72,0.52,0.64,105,44,41.9,3.56,1.49,14.2,0.15,6.4,604,782,77.2,8821,2104,-0.6,36,45,21,54,172,1176,12,88,532,564,178,68,19,27.9,39,57.4,735,3228,1486,29,28,878
Lázaro,BRA,"FW,MF",Almería,La Liga,21,2002,14,2,285,3.2,0,0,0,0,0,0,0,0,0.9,0.9,0.5,1.4,0.0,0.0,0.0,0.28,0.17,0.45,0.28,0.45,8,4,50.0,2.53,1.26,18.3,0.11,-0.9,69,100,69.0,1137,308,-0.5,6,4,1,5,34,152,2,19,64,69,14,16,5,31.3,10,62.5,89,547,224,3,2,100
Leandro Trossard,BEL,"FW,MF",Arsenal,Premier League,28,1994,34,18,1649,18.3,12,1,13,12,0,0,2,0,7.9,7.9,2.8,10.7,0.65,0.05,0.71,0.43,0.15,0.58,0.43,0.58,60,22,36.7,3.27,1.2,16.1,0.13,4.1,494,673,73.4,7666,1927,-1.8,24,28,29,66,155,912,15,105,318,502,121,47,25,53.2,16,34.0,591,3651,1732,43,27,650
Lebo Mothiba,RSA,FW,Strasbourg,Ligue 1,27,1996,15,5,617,6.9,3,0,3,3,0,0,0,0,4.6,4.6,0.2,4.8,0.44,0.0,0.44,0.67,0.02,0.7,0.67,0.7,16,7,43.8,2.33,1.02,9.8,0.31,-1.6,86,118,72.9,1087,191,-0.2,5,6,2,8,27,183,13,17,64,103,37,5,4,80.0,1,20.0,141,806,280,6,5,152
Lee Kang-in,KOR,"FW,MF",Paris S-G,Ligue 1,22,2001,23,18,1464,16.3,3,4,7,3,0,0,2,0,1.5,1.5,2.3,3.7,0.18,0.25,0.43,0.09,0.14,0.23,0.09,0.23,23,9,39.1,1.41,0.55,19.5,0.06,1.5,835,1011,82.6,12568,3151,1.7,27,58,31,50,150,1149,11,114,486,559,41,49,25,51.0,20,40.8,904,4962,2178,50,17,883
Léo Baptistão,BRA,FW,Almería,La Liga,30,1992,32,22,1837,20.4,6,0,6,6,0,0,6,1,5.3,5.3,1.8,7.1,0.29,0.0,0.29,0.25,0.09,0.34,0.25,0.34,48,18,37.5,2.35,0.88,16.7,0.11,0.7,366,568,64.4,5127,1333,-1.8,19,21,8,26,88,793,23,123,416,267,67,28,12,42.9,14,50.0,399,2131,1118,21,8,532
Leon Chiwome,ENG,FW,Wolves,Premier League,17,2006,3,2,174,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,2,0,0.0,1.03,0.0,11.2,0.05,-0.1,19,22,86.4,244,59,0.0,0,2,0,1,7,39,3,5,25,10,4,0,0,,0,,16,86,50,0,1,18
Leon Opitz,GER,"FW,DF",Werder Bremen,Bundesliga,18,2005,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,6,13,46.2,101,38,0.0,0,0,0,1,2,17,0,7,6,4,1,2,1,50.0,1,50.0,10,51,28,1,1,9
Leonardo Pavoletti,ITA,FW,Cagliari,Serie A,34,1988,19,5,628,7.0,4,1,5,4,0,0,4,0,2.6,2.6,0.3,2.9,0.57,0.14,0.72,0.37,0.04,0.41,0.37,0.41,25,9,36.0,3.58,1.29,11.3,0.1,1.4,87,157,55.4,1272,351,0.7,7,12,4,1,40,232,8,16,105,111,42,0,0,,0,,103,182,59,0,1,186
Leroy Sané,GER,FW,Bayern Munich,Bundesliga,27,1996,27,25,2137,23.7,8,11,19,8,0,0,4,0,10.9,10.9,10.8,21.8,0.34,0.46,0.8,0.46,0.46,0.92,0.46,0.92,73,28,38.4,3.07,1.18,17.6,0.15,-2.9,878,1098,80.0,12860,3036,0.2,72,43,47,121,274,1398,6,99,448,880,143,167,93,55.7,65,38.9,936,7599,4060,85,44,1085
Lewis Warrington,ENG,FW,Everton,Premier League,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,2,2,100.0,53,0,0.0,0,0,0,0,0,3,0,1,2,0,0,0,0,,0,,1,5,5,0,0,1
Linton Maina,GER,"FW,MF",Köln,Bundesliga,24,1999,31,21,1901,21.1,1,3,4,1,0,0,4,0,1.9,1.9,3.1,5.0,0.05,0.14,0.19,0.09,0.15,0.24,0.09,0.24,33,11,33.3,1.56,0.52,19.8,0.06,-0.9,484,661,73.2,6983,1773,-0.1,20,28,16,109,169,846,14,110,334,429,82,57,22,38.6,31,54.4,599,5140,2671,64,47,607
Loïs Openda,BEL,FW,RB Leipzig,Bundesliga,23,2000,34,33,2697,30.0,24,7,31,22,2,3,4,0,22.1,19.7,5.8,25.5,0.8,0.23,1.03,0.74,0.19,0.93,0.66,0.85,118,59,50.0,3.94,1.97,14.2,0.17,1.9,348,524,66.4,4561,1025,1.2,35,21,21,77,226,860,20,52,285,528,214,65,20,30.8,35,53.8,545,2923,1473,30,38,643
Lorenzo Colombo,ITA,FW,Monza,Serie A,21,2002,25,16,1359,15.1,4,1,5,4,0,0,3,0,3.6,3.6,0.6,4.2,0.26,0.07,0.33,0.24,0.04,0.28,0.24,0.28,37,10,27.0,2.45,0.66,17.2,0.1,0.4,185,263,70.3,2711,593,0.4,8,10,3,16,75,451,18,32,239,186,65,23,12,52.2,11,47.8,287,1275,464,9,13,348
Lorenzo Lucca,ITA,FW,Udinese,Serie A,22,2000,37,30,2592,28.8,8,4,12,8,0,0,6,0,7.8,7.8,1.6,9.4,0.28,0.14,0.42,0.27,0.06,0.33,0.27,0.33,61,25,41.0,2.12,0.87,12.9,0.13,0.2,271,454,59.7,3830,448,2.4,20,14,5,10,118,772,41,91,377,313,93,33,12,36.4,20,60.6,436,1829,459,16,5,598
Loum Tchaouna,FRA,"FW,MF",Salernitana,Serie A,19,2003,33,23,2100,23.3,4,3,7,4,0,0,4,0,2.6,2.6,1.5,4.1,0.17,0.13,0.3,0.11,0.06,0.18,0.11,0.18,44,15,34.1,1.89,0.64,20.3,0.06,1.4,505,766,65.9,7384,2039,1.5,22,41,22,72,151,1026,12,120,474,448,72,55,16,29.1,31,56.4,619,3635,1648,48,26,760
Lovro Zvonarek,CRO,"FW,MF",Bayern Munich,Bundesliga,18,2005,5,1,163,1.8,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.3,0.55,0.0,0.55,0.04,0.12,0.15,0.04,0.15,1,1,100.0,0.55,0.55,16.8,0.07,0.9,50,60,83.3,766,123,-0.2,2,5,1,7,9,73,2,9,38,26,8,3,1,33.3,2,66.7,43,207,86,1,4,55
Luca Pfeiffer,GER,"FW,MF",Darmstadt 98,Bundesliga,26,1996,24,20,1619,18.0,1,4,5,1,0,0,3,0,4.6,4.6,1.7,6.3,0.06,0.22,0.28,0.26,0.09,0.35,0.26,0.35,48,18,37.5,2.67,1.0,15.7,0.1,-3.6,290,414,70.0,4273,930,2.3,19,20,8,15,81,565,25,66,266,237,59,21,7,33.3,9,42.9,278,1365,529,14,2,373
Luca Raimund,GER,"FW,MF",Stuttgart,Bundesliga,18,2005,3,0,30,0.3,0,0,0,0,0,0,1,0,0.9,0.9,0.0,0.9,0.0,0.0,0.0,2.79,0.0,2.79,2.79,2.79,2,0,0.0,6.0,0.0,7.2,0.55,-0.9,16,23,69.6,203,18,0.0,0,0,1,0,2,34,0,5,10,20,3,0,0,,0,,18,67,27,0,0,21
Lucas Beltrán,ARG,"FW,MF",Fiorentina,Serie A,22,2001,32,21,1692,18.8,6,2,8,5,1,1,6,0,3.8,3.0,1.5,4.5,0.32,0.11,0.43,0.2,0.08,0.28,0.16,0.24,30,7,23.3,1.6,0.37,15.5,0.1,2.2,360,459,78.4,5213,1095,0.5,25,25,19,12,113,668,16,49,280,342,88,31,12,38.7,17,54.8,384,1500,542,10,6,478
Lucas Boyé,ARG,FW,Granada,La Liga,27,1996,31,30,2541,28.2,6,3,9,6,0,0,8,1,6.2,6.2,2.8,8.9,0.21,0.11,0.32,0.22,0.1,0.32,0.22,0.32,56,15,26.8,1.98,0.53,13.3,0.11,-0.2,454,631,71.9,6448,1566,0.2,26,44,13,36,131,1132,56,133,560,454,119,130,53,40.8,75,57.7,634,3083,1036,42,16,747
Lucas Höler,GER,"FW,MF",Freiburg,Bundesliga,29,1994,33,26,2305,25.6,7,2,9,6,1,2,7,0,8.6,7.0,2.1,9.1,0.27,0.08,0.35,0.34,0.08,0.42,0.27,0.36,32,16,50.0,1.25,0.62,13.5,0.22,-1.6,494,739,66.8,6619,1500,-0.1,32,34,12,24,153,1008,46,159,457,399,97,29,13,44.8,15,51.7,546,2264,844,12,5,717
Lucas Michal,FRA,FW,Monaco,Ligue 1,18,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,1,1,100.0,9,0,0.0,0,0,0,1,0,1,0,0,1,0,0,0,0,,0,,1,34,31,0,0,0
Lucas Ocampos,ARG,"FW,MF",Sevilla,La Liga,29,1994,35,34,2871,31.9,4,3,7,3,1,1,8,0,5.4,4.6,4.5,9.1,0.13,0.09,0.22,0.17,0.14,0.31,0.14,0.29,63,23,36.5,1.97,0.72,16.9,0.07,-1.4,837,1247,67.1,13104,3535,-1.5,36,52,40,117,265,1717,30,224,657,871,125,130,48,36.9,66,50.8,963,6343,2887,77,35,1171
Lucas Paquetá,BRA,"FW,MF",West Ham,Premier League,25,1997,31,31,2622,29.1,4,6,10,2,2,2,10,0,5.4,3.8,5.4,9.2,0.14,0.21,0.34,0.18,0.18,0.37,0.13,0.32,40,8,20.0,1.37,0.27,17.8,0.1,-1.4,1082,1465,73.9,16561,5842,0.6,43,143,50,34,116,1845,42,319,1018,533,63,77,41,53.2,29,37.7,1103,4489,1771,40,12,1350
Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29,1994,26,15,1360,15.1,2,0,2,2,0,2,4,0,5.3,3.7,1.0,4.7,0.13,0.0,0.13,0.35,0.06,0.41,0.25,0.31,27,6,22.2,1.79,0.4,13.1,0.14,-3.3,318,453,70.2,4546,479,-1.0,16,21,3,5,88,603,12,53,314,238,85,11,2,18.2,8,72.7,260,904,291,6,1,450
Ludovic Blas,FRA,"FW,MF",Rennes,Ligue 1,25,1997,29,18,1563,17.4,4,1,5,3,1,2,3,0,4.7,3.1,1.7,4.8,0.23,0.06,0.29,0.27,0.1,0.37,0.18,0.27,42,15,35.7,2.42,0.86,20.0,0.07,-0.7,395,506,78.1,7024,1852,-0.7,20,37,18,46,157,736,6,92,296,366,59,69,25,36.2,39,56.5,557,3916,1737,37,8,515
Luigi Canotto,ITA,FW,Frosinone,Serie A,29,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,2,3,66.7,21,9,0.0,0,0,0,0,1,4,0,2,2,0,0,1,1,100.0,0,0.0,5,9,4,0,0,3
Luis Díaz,COL,FW,Liverpool,Premier League,26,1997,37,32,2629,29.2,8,5,13,8,0,0,3,0,11.9,11.9,5.7,17.5,0.27,0.17,0.45,0.41,0.19,0.6,0.41,0.6,94,32,34.0,3.22,1.1,15.0,0.13,-3.9,898,1075,83.5,13772,2931,-0.7,64,62,45,137,302,1453,10,94,529,858,219,140,67,47.9,57,40.7,1017,7500,3690,77,70,1128
Luis Henrique,BRA,"FW,DF",Marseille,Ligue 1,21,2001,15,8,784,8.7,1,0,1,1,0,0,0,0,1.3,1.3,0.7,2.0,0.11,0.0,0.11,0.15,0.08,0.23,0.15,0.23,12,3,25.0,1.38,0.34,19.4,0.11,-0.3,300,387,77.5,5161,1430,-0.7,10,25,14,30,84,472,9,71,185,227,25,25,13,52.0,11,44.0,366,2503,1158,26,9,346
