Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Glsp90,Astp90,G+Ap90,xGp90,xAGp90,xG+xAGp90,npxGp90,npxG+xAGp90,Sh,SoT,SoT%,Sh/90,SoT/90,ShDist,npxG/Sh,G-xG,Cmp,Att,Cmp%,PTotDist,PPrgDist,A-xAG,KP,1/3,PPA,PrgC,PrgR,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,TOAtt,TOSucc,TOSucc%,Tkld,Tkld%,Carries,CTotDist,CPrgDist,C1/3,CPA,Rec
Antoine Joujou,FRA,"FW,MF",Le Havre,Ligue 1,20,2003,23,6,779,8.7,0,2,2,0,0,0,1,0,1.1,1.1,0.6,1.8,0.0,0.23,0.23,0.13,0.07,0.2,0.13,0.2,20,3,15.0,2.31,0.35,19.1,0.06,-1.1,184,260,70.8,2751,659,1.4,9,10,11,35,82,399,10,53,128,228,41,53,19,35.8,31,58.5,299,2262,1090,21,16,278
Antoine Semenyo,GHA,FW,Bournemouth,Premier League,23,2000,33,25,2105,23.4,8,2,10,8,0,0,6,0,4.6,4.6,3.2,7.8,0.34,0.09,0.43,0.2,0.14,0.34,0.2,0.34,70,30,42.9,2.99,1.28,17.8,0.07,3.4,452,647,69.9,6944,1597,-1.2,29,28,28,89,188,1015,31,137,375,526,124,116,50,43.1,55,47.4,611,5156,2477,51,42,691
Antonio Sanabria,PAR,"FW,MF",Torino,Serie A,27,1996,35,23,2133,23.7,5,0,5,3,2,2,2,0,9.3,7.7,1.4,9.1,0.21,0.0,0.21,0.39,0.06,0.45,0.32,0.38,52,14,26.9,2.19,0.59,12.7,0.15,-4.3,494,624,79.2,7261,1214,-1.4,15,39,10,19,109,856,14,78,467,322,82,32,14,43.8,17,53.1,504,2382,721,16,4,665
Antony,BRA,FW,Manchester Utd,Premier League,23,2000,29,15,1324,14.7,1,1,2,1,0,0,5,0,3.4,3.4,2.8,6.1,0.07,0.07,0.14,0.23,0.19,0.42,0.23,0.42,43,15,34.9,2.92,1.02,18.9,0.08,-2.4,468,595,78.7,6175,1608,-1.8,22,26,29,53,149,815,17,106,304,428,58,71,26,36.6,33,46.5,549,3723,1953,37,23,571
Antwoine Hackford,ENG,FW,Sheffield Utd,Premier League,19,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,0.0,2,2,100.0,14,0,0.0,0,0,0,0,0,4,0,0,2,2,0,1,0,0.0,1,100.0,3,11,2,1,0,3
Arda Güler,TUR,"FW,MF",Real Madrid,La Liga,18,2005,10,4,377,4.2,6,0,6,6,0,0,1,0,1.4,1.4,0.1,1.6,1.43,0.0,1.43,0.34,0.03,0.37,0.34,0.37,15,6,40.0,3.58,1.43,21.9,0.1,4.6,183,218,83.9,2640,611,-0.1,2,8,6,16,25,273,7,39,114,125,19,22,11,50.0,9,40.9,172,1034,609,6,6,205
Arijon Ibrahimović,GER,"FW,DF",Frosinone,Serie A,17,2005,16,5,474,5.3,1,1,2,1,0,0,1,0,0.8,0.8,0.7,1.5,0.19,0.19,0.38,0.15,0.13,0.28,0.15,0.28,12,4,33.3,2.28,0.76,20.7,0.07,0.2,163,225,72.4,2299,702,0.3,8,11,9,10,54,285,4,36,119,135,19,13,4,30.8,7,53.8,187,905,374,7,7,215
Arkadiusz Milik,POL,FW,Juventus,Serie A,29,1994,32,7,919,10.2,4,1,5,4,0,0,2,1,5.1,5.1,2.6,7.7,0.39,0.1,0.49,0.5,0.26,0.75,0.5,0.75,37,13,35.1,3.62,1.27,13.6,0.14,-1.1,215,270,79.6,3059,448,-1.6,15,8,8,12,49,391,3,36,182,175,52,10,5,50.0,5,50.0,242,894,331,8,3,319
Armand Lauriente,FRA,FW,Sassuolo,Serie A,24,1998,37,35,2908,32.3,5,4,9,5,0,0,5,0,5.7,5.7,4.0,9.7,0.15,0.12,0.28,0.18,0.12,0.3,0.18,0.3,84,30,35.7,2.6,0.93,21.6,0.07,-0.7,628,908,69.2,9577,3171,0.0,47,49,36,125,268,1292,9,130,453,740,118,135,63,46.7,54,40.0,817,6280,3470,84,48,880
Armando Broja,ALB,FW,Fulham,Premier League,21,2001,8,0,88,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,0.0,1.02,1.02,0.0,0.41,0.41,0.0,0.41,0,0,,0.0,0.0,,,0.0,19,27,70.4,200,71,0.6,1,4,1,2,7,43,0,5,15,23,4,6,2,33.3,4,66.7,23,162,62,2,0,37
Armando Broja,ALB,FW,Chelsea,Premier League,21,2001,13,6,454,5.0,1,0,1,1,0,0,0,0,2.4,2.4,0.2,2.5,0.2,0.0,0.2,0.47,0.03,0.5,0.47,0.5,13,2,15.4,2.58,0.4,11.1,0.18,-1.4,83,94,88.3,932,91,-0.2,3,2,2,11,37,167,3,9,56,106,35,31,13,41.9,16,51.6,117,695,286,4,8,131
Arnau Puigmal,ESP,"FW,DF",Almería,La Liga,22,2001,11,3,255,2.8,0,0,0,0,0,0,3,0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0,0,,0.0,0.0,,,0.0,65,93,69.9,976,349,-0.3,3,6,4,4,17,122,2,20,56,48,2,7,2,28.6,4,57.1,76,437,210,3,0,78
Arnaud Kalimuendo,FRA,FW,Rennes,Ligue 1,21,2002,30,25,2139,23.8,10,1,11,8,2,2,6,0,9.0,7.4,2.7,10.1,0.42,0.04,0.46,0.38,0.11,0.49,0.31,0.43,59,22,37.3,2.48,0.93,16.3,0.13,1.0,405,502,80.7,5966,893,-1.7,28,31,12,27,181,717,7,37,347,339,107,46,17,37.0,25,54.3,559,3294,1046,18,13,564
Arnaud Nordin,FRA,"FW,MF",Montpellier,Ligue 1,25,1998,20,15,1246,13.8,5,3,8,5,0,0,1,1,3.6,3.6,3.0,6.5,0.36,0.22,0.58,0.26,0.21,0.47,0.26,0.47,29,11,37.9,2.09,0.79,16.0,0.12,1.4,304,390,77.9,4665,1231,0.0,21,31,22,56,125,551,6,66,227,271,66,55,33,60.0,15,27.3,441,3428,1667,48,25,422
Aron Dønnum,NOR,"FW,MF",Toulouse,Ligue 1,25,1998,27,19,1595,17.7,0,1,1,0,0,0,8,0,1.0,1.0,2.1,3.1,0.0,0.06,0.06,0.06,0.12,0.18,0.06,0.18,21,9,42.9,1.18,0.51,19.5,0.05,-1.0,428,571,75.0,7389,2129,-1.1,24,36,23,69,120,774,19,108,343,341,48,74,31,41.9,34,45.9,601,4386,2001,37,21,567
Artem Dovbyk,UKR,FW,Girona,La Liga,26,1997,36,32,2587,28.7,24,8,32,17,7,8,2,0,24.2,17.9,6.2,24.1,0.83,0.28,1.11,0.84,0.21,1.05,0.62,0.84,77,36,46.8,2.68,1.25,12.4,0.23,-0.2,277,392,70.7,3272,471,1.8,27,9,10,18,118,606,19,36,230,341,185,25,17,68.0,8,32.0,351,1294,449,7,16,487
Asier Villalibre,ESP,FW,Athletic Club,La Liga,25,1997,18,4,513,5.7,2,1,3,2,0,0,0,0,1.7,1.7,1.0,2.7,0.35,0.18,0.53,0.3,0.17,0.47,0.3,0.47,12,6,50.0,2.11,1.05,11.5,0.14,0.3,88,124,71.0,1078,184,0.0,9,7,5,6,29,179,6,18,64,98,31,11,4,36.4,6,54.5,105,389,195,5,6,143
Assane Diao,ESP,FW,Betis,La Liga,17,2005,18,13,1048,11.6,2,0,2,2,0,0,4,0,2.5,2.5,0.7,3.2,0.17,0.0,0.17,0.21,0.06,0.28,0.21,0.28,21,3,14.3,1.8,0.26,13.7,0.12,-0.5,200,264,75.8,2297,410,-0.7,10,4,6,33,101,478,10,53,190,251,49,55,18,32.7,28,50.9,309,2486,935,25,14,344
Axel Camblan,FRA,FW,Brest,Ligue 1,19,2003,7,0,90,1.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,0.0,0.0,0.0,0.25,0.05,0.29,0.25,0.29,2,0,0.0,2.0,0.0,9.1,0.12,-0.2,18,22,81.8,294,39,0.0,1,0,0,5,8,43,0,4,12,28,3,8,3,37.5,5,62.5,28,290,117,4,0,26
Ayoze Pérez,ESP,FW,Betis,La Liga,30,1993,31,29,2294,25.5,9,1,10,9,0,0,4,0,7.4,7.4,3.9,11.3,0.35,0.04,0.39,0.29,0.15,0.44,0.29,0.44,68,26,38.2,2.67,1.02,13.5,0.11,1.6,572,738,77.5,7137,1889,-2.9,29,46,22,90,175,1125,19,126,510,513,156,112,50,44.6,54,48.2,700,4465,2436,51,41,799
Badredine Bouanani,ALG,FW,Nice,Ligue 1,18,2004,7,1,161,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.0,0.0,0.0,0.12,0.26,0.37,0.12,0.37,4,1,25.0,2.24,0.56,16.4,0.05,-0.2,54,70,77.1,959,207,-0.5,6,1,3,10,24,104,0,9,36,59,10,11,4,36.4,6,54.5,86,617,221,10,1,79
