Player,Annual Wage (Euros),Weekly Wage (Euros),Squad,Age,League
Sergi Altimira,200000 ,3846 ,Betis,22,La Liga
Giuseppe Caso,200000 ,3846 ,Frosinone,24,Serie A
Melvin Bard,200000 ,3846 ,Nice,22,Ligue 1
Dominique Youfeigane,200000 ,3846 ,Lorient,23,Ligue 1
Adrien Lebeau,200000 ,3846 ,Brest,24,Ligue 1
Leonidas Stergiou,190000 ,3654 ,Stuttgart,21,Bundesliga
Roberto Massimo,190000 ,3654 ,Stuttgart,22,Bundesliga
Nick Woltemade,190000 ,3654 ,Werder Bremen,21,Bundesliga
Alberto Moleiro,190000 ,3654 ,Las Palmas,19,La Liga
Javi Hernández,190000 ,3654 ,Cádiz,25,La Liga
Antonio Tikvic,190000 ,3654 ,Udinese,19,Serie A
Marley Aké,190000 ,3654 ,Udinese,22,Serie A
Vivaldo Semedo,190000 ,3654 ,Udinese,18,Serie A
Warren Bondo,190000 ,3654 ,Monza,19,Serie A
Alessandro Vogliacco,190000 ,3654 ,Genoa,24,Serie A
Arijon Ibrahimovic,190000 ,3654 ,Frosinone,18,Serie A
Giorgi Kvernadze,190000 ,3654 ,Frosinone,20,Serie A
İsak Vural,190000 ,3654 ,Frosinone,17,Serie A
Francesco Rossi,190000 ,3654 ,Atalanta,32,Serie A
Marco Carnesecchi,190000 ,3654 ,Atalanta,23,Serie A
Emmanuel Ekong,190000 ,3654 ,Empoli,21,Serie A
Luca Belardinelli,190000 ,3654 ,Empoli,22,Serie A
Stiven Shpendi,190000 ,3654 ,Empoli,20,Serie A
Gianluca Gaetano,190000 ,3654 ,Cagliari,23,Serie A
Andres Sfait,190000 ,3654 ,Salernitana,19,Serie A
Chukwubuikem Ikwuemesi,190000 ,3654 ,Salernitana,22,Serie A
Grigoris Kastanos,190000 ,3654 ,Salernitana,25,Serie A
Daniel Samek,190000 ,3654 ,Lecce,19,Serie A
Denis Franchi,184655 ,3551 ,Burnley,20,Premier League
Jordan Beyer,184655 ,3551 ,Burnley,23,Premier League
James Hill,182537 ,3510 ,Bournemouth,21,Premier League
Luca Philipp,180000 ,3462 ,Hoffenheim,22,Bundesliga
Adrian Beck,180000 ,3462 ,Heidenheim,26,Bundesliga
Michael Zetterer,180000 ,3462 ,Werder Bremen,28,Bundesliga
Abdoulaye Kamara,180000 ,3462 ,Dortmund,19,Bundesliga
Antonios Papadopoulos,180000 ,3462 ,Dortmund,24,Bundesliga
Niclas Thiede,180000 ,3462 ,Bochum,24,Bundesliga
Philipp Pentke,180000 ,3462 ,Köln,38,Bundesliga
Iker Muñoz,180000 ,3462 ,Osasuna,20,La Liga
Pablo Ibáñez,180000 ,3462 ,Osasuna,24,La Liga
Iván Cuéllar,180000 ,3462 ,Mallorca,39,La Liga
Beñat Prados,180000 ,3462 ,Athletic Club,22,La Liga
Iglesias,180000 ,3462 ,Getafe,25,La Liga
Jhon Solís,180000 ,3462 ,Girona,18,La Liga
Unai Marrero,180000 ,3462 ,Real Sociedad,22,La Liga
Denis Genreau,180000 ,3462 ,Toulouse,24,Ligue 1
Pablo Pagis,180000 ,3462 ,Lorient,20,Ligue 1
Yohann Magnin,180000 ,3462 ,Clermont Foot,26,Ligue 1
Fali Candé,180000 ,3462 ,Metz,25,Ligue 1
Guillaume Dietsch,180000 ,3462 ,Metz,22,Ligue 1
Marc-Aurèle Caillard,180000 ,3462 ,Metz,29,Ligue 1
Warren Tchimbembé,180000 ,3462 ,Metz,25,Ligue 1
Grégoire Coudert,180000 ,3462 ,Brest,24,Ligue 1
Emir Karic,170000 ,3269 ,Darmstadt 98,26,Bundesliga
Saúl Coco,170000 ,3269 ,Las Palmas,24,La Liga
Sergi Cardona,170000 ,3269 ,Las Palmas,24,La Liga
Arnau Puigmal,170000 ,3269 ,Almería,22,La Liga
Marko Milovanovic,170000 ,3269 ,Almería,20,La Liga
Marco Ballarini,170000 ,3269 ,Udinese,22,Serie A
Filippo Terracciano,170000 ,3269 ,Hellas Verona,20,Serie A
Joselito,170000 ,3269 ,Hellas Verona,19,Serie A
Luca Gemello,170000 ,3269 ,Torino,23,Serie A
Pietro Passador,170000 ,3269 ,Torino,20,Serie A
Federico Ravaglia,170000 ,3269 ,Bologna,23,Serie A
Nicola Bagnolini,170000 ,3269 ,Bologna,19,Serie A
Tommaso Corazza,170000 ,3269 ,Bologna,19,Serie A
Alessandro Sorrentino,170000 ,3269 ,Monza,21,Serie A
Samuele Vignato,170000 ,3269 ,Monza,19,Serie A
Christian Dalle Mura,170000 ,3269 ,Fiorentina,21,Serie A
Lorenzo Amatucci,170000 ,3269 ,Fiorentina,19,Serie A
Niccolò Pierozzi,170000 ,3269 ,Fiorentina,21,Serie A
Matjaz Kamensek-Pahic,170000 ,3269 ,Frosinone,19,Serie A
Giovanni Bonfanti,170000 ,3269 ,Atalanta,20,Serie A
Matteo Ruggeri,170000 ,3269 ,Atalanta,21,Serie A
Gabriele Guarino,170000 ,3269 ,Empoli,19,Serie A
Jacopo Desogus,170000 ,3269 ,Cagliari,20,Serie A
Riccardo Pagano,170000 ,3269 ,Roma,19,Serie A
Hubert Idasiak,170000 ,3269 ,Napoli,21,Serie A
Lapo Nava,170000 ,3269 ,Milan,20,Serie A
Filippo Missori,170000 ,3269 ,Sassuolo,19,Serie A
Luca Lipani,170000 ,3269 ,Sassuolo,18,Serie A
Federico Brancolini,170000 ,3269 ,Lecce,22,Serie A
Rares Burnete,170000 ,3269 ,Lecce,19,Serie A
Antoine Joujou,170000 ,3269 ,Le Havre,20,Ligue 1
Jordy Makengo,160000 ,3077 ,Freiburg,22,Bundesliga
Davis Bautista,160000 ,3077 ,Eint Frankfurt,18,Bundesliga
Ayman Aourir,160000 ,3077 ,Leverkusen,18,Bundesliga
Adrià Altimira,160000 ,3077 ,Villarreal,22,La Liga
Javi López,160000 ,3077 ,Alavés,21,La Liga
Eric Monjonell,160000 ,3077 ,Girona,21,La Liga
Cristhian Mosquera,160000 ,3077 ,Valencia,19,La Liga
Martín,160000 ,3077 ,Cádiz,24,La Liga
Amidou Doumbouya,160000 ,3077 ,Nice,16,Ligue 1
Belmin Dizdarevic,160000 ,3077 ,Montpellier,22,Ligue 1
Alaa Bellaarouch,160000 ,3077 ,Strasbourg,21,Ligue 1
Cheick Oumar Konaté,160000 ,3077 ,Clermont Foot,19,Ligue 1
Ayanda Sishuba,160000 ,3077 ,Lens,19,Ligue 1
Ryan Trevitt,153879 ,2959 ,Brentford,20,Premier League
Elliot Thorpe,153879 ,2959 ,Luton Town,23,Premier League
Umut Tohumcu,150000 ,2885 ,Hoffenheim,19,Bundesliga
Tarek Buchmann,150000 ,2885 ,Bayern Munich,18,Bundesliga
Tom Hülsmann,150000 ,2885 ,Bayern Munich,19,Bundesliga
Elidon Qenaj,150000 ,2885 ,Heidenheim,20,Bundesliga
Paul Tschernuth,150000 ,2885 ,Heidenheim,22,Bundesliga
Thomas Keller,150000 ,2885 ,Heidenheim,23,Bundesliga
Philipp Schulze,150000 ,2885 ,Wolfsburg,20,Bundesliga
Ulysses Llanez,150000 ,2885 ,Wolfsburg,22,Bundesliga
Eduardo Dos Santos Haesler,150000 ,2885 ,Werder Bremen,24,Bundesliga
Aljoscha Kemlein,150000 ,2885 ,Union Berlin,19,Bundesliga
Eniss Shabani,150000 ,2885 ,Mainz 05,20,Bundesliga
Philipp Schulz,150000 ,2885 ,Mainz 05,18,Bundesliga
Elias Bakatukanda,150000 ,2885 ,Köln,19,Bundesliga
Hrvoje Smolčić,150000 ,2885 ,Eint Frankfurt,22,Bundesliga
Nnamdi Collins,150000 ,2885 ,Eint Frankfurt,20,Bundesliga
Sidney Raebiger,150000 ,2885 ,Eint Frankfurt,18,Bundesliga
Simon Simoni,150000 ,2885 ,Eint Frankfurt,19,Bundesliga
Aitor Paredes,150000 ,2885 ,Athletic Club,23,La Liga
Bruno Langa,150000 ,2885 ,Almería,25,La Liga
Largie Ramazani,150000 ,2885 ,Almería,22,La Liga
Jesús Owono,150000 ,2885 ,Alavés,22,La Liga
Rafa Marín,150000 ,2885 ,Alavés,21,La Liga
Carlos Dominguez,150000 ,2885 ,Celta Vigo,22,La Liga
Mateus Lusuardi,150000 ,2885 ,Frosinone,20,Serie A
Jacopo Fazzini,150000 ,2885 ,Empoli,20,Serie A
Saba Goglichidze,150000 ,2885 ,Empoli,19,Serie A
Maxime Estève,150000 ,2885 ,Montpellier,21,Ligue 1
Kandet Diawara,150000 ,2885 ,Le Havre,23,Ligue 1
Geoffrey Lembet,150000 ,2885 ,Rennes,34,Ligue 1
Guéla Doué,150000 ,2885 ,Rennes,21,Ligue 1
Maxime Bastian,150000 ,2885 ,Strasbourg,22,Ligue 1
Mohamed El Arouch,150000 ,2885 ,Lyon,19,Ligue 1
Yannis M'Bemba,150000 ,2885 ,Nantes,22,Ligue 1
Kamory Doumbia,150000 ,2885 ,Brest,20,Ligue 1
Neil El Aynaoui,150000 ,2885 ,Lens,22,Ligue 1
Yannick Pandor,150000 ,2885 ,Lens,22,Ligue 1
Maximilian Brüll,140000 ,2692 ,Gladbach,21,Bundesliga
Shio Fukuda,140000 ,2692 ,Gladbach,19,Bundesliga
Leon Opitz,140000 ,2692 ,Werder Bremen,18,Bundesliga
Morten Behrens,140000 ,2692 ,Darmstadt 98,26,Bundesliga
Yellu Santiago,140000 ,2692 ,Getafe,19,La Liga
Marc Martínez,140000 ,2692 ,Granada,33,La Liga
Ange Caumenan N'Guessan,140000 ,2692 ,Torino,20,Serie A
Falaye Sacko,140000 ,2692 ,Montpellier,28,Ligue 1
Justin Lacombe,140000 ,2692 ,Toulouse,20,Ligue 1
Marvin Senaya,140000 ,2692 ,Strasbourg,22,Ligue 1
Elba Rashani,140000 ,2692 ,Clermont Foot,30,Ligue 1
Billal Brahimi,140000 ,2692 ,Brest,23,Ligue 1
Abdukodir Khusanov,140000 ,2692 ,Lens,19,Ligue 1
Jannik Müller,130000 ,2500 ,Darmstadt 98,29,Bundesliga
Max Rosenfelder,130000 ,2500 ,Freiburg,20,Bundesliga
Damion Downs,130000 ,2500 ,Köln,19,Bundesliga
Dario Gebuhr,130000 ,2500 ,Eint Frankfurt,20,Bundesliga
Noel Futkeu,130000 ,2500 ,Eint Frankfurt,20,Bundesliga
Álex Suárez,130000 ,2500 ,Las Palmas,30,La Liga
Toni Fuidias,130000 ,2500 ,Girona,22,La Liga
Sekou Diawara,130000 ,2500 ,Udinese,19,Serie A
Simone Calvani,130000 ,2500 ,Genoa,18,Serie A
Pasquale Allocca,130000 ,2500 ,Salernitana,18,Serie A
Christian Mawissa,130000 ,2500 ,Toulouse,18,Ligue 1
Bilal Nadir,130000 ,2500 ,Marseille,19,Ligue 1
Samuel Koeberlé,130000 ,2500 ,Reims,18,Ligue 1
Loris Mouyokolo,130000 ,2500 ,Lorient,22,Ligue 1
Achraf Laâziri,130000 ,2500 ,Lyon,20,Ligue 1
Nathan Zeze,130000 ,2500 ,Nantes,18,Ligue 1
Aïman Maurer,130000 ,2500 ,Clermont Foot,18,Ligue 1
Jim Allevinah,130000 ,2500 ,Clermont Foot,28,Ligue 1
Massamba Ndiaye,130000 ,2500 ,Clermont Foot,21,Ligue 1
Théo Borne,130000 ,2500 ,Clermont Foot,21,Ligue 1
Lamine Camara,130000 ,2500 ,Metz,19,Ligue 1
Malick Mbaye,130000 ,2500 ,Metz,19,Ligue 1
Bambasé Conté,120000 ,2308 ,Hoffenheim,20,Bundesliga
Joshua Quarshie,120000 ,2308 ,Hoffenheim,19,Bundesliga
Marco John,120000 ,2308 ,Hoffenheim,21,Bundesliga
Nahuel Noll,120000 ,2308 ,Hoffenheim,20,Bundesliga
Tom Bischof,120000 ,2308 ,Hoffenheim,18,Bundesliga
Aaron Zehnter,120000 ,2308 ,Augsburg,18,Bundesliga
Arne Engels,120000 ,2308 ,Augsburg,20,Bundesliga
Frederik Winther,120000 ,2308 ,Augsburg,22,Bundesliga
Marcel Lubik,120000 ,2308 ,Augsburg,19,Bundesliga
Mert Kömür,120000 ,2308 ,Augsburg,18,Bundesliga
Frank Feller,120000 ,2308 ,Heidenheim,20,Bundesliga
Kevin Sessa,120000 ,2308 ,Heidenheim,23,Bundesliga
Lennard Maloney,120000 ,2308 ,Heidenheim,23,Bundesliga
Luka Janes,120000 ,2308 ,Heidenheim,19,Bundesliga
Seedy Jarju,120000 ,2308 ,Heidenheim,18,Bundesliga
Tim Siersleben,120000 ,2308 ,Heidenheim,23,Bundesliga
Moritz Nicolas,120000 ,2308 ,Gladbach,25,Bundesliga
Felix Lange,120000 ,2308 ,Wolfsburg,19,Bundesliga
Anthony Rouault,120000 ,2308 ,Stuttgart,22,Bundesliga
Dennis Seimen,120000 ,2308 ,Stuttgart,17,Bundesliga
Florian Schock,120000 ,2308 ,Stuttgart,22,Bundesliga
Lilian Egloff,120000 ,2308 ,Stuttgart,20,Bundesliga
Luca Raimund,120000 ,2308 ,Stuttgart,18,Bundesliga
Aaron Seydel,120000 ,2308 ,Darmstadt 98,27,Bundesliga
Fabio Torsiello,120000 ,2308 ,Darmstadt 98,19,Bundesliga
Frank Ronstadt,120000 ,2308 ,Darmstadt 98,26,Bundesliga
Thomas Isherwood,120000 ,2308 ,Darmstadt 98,25,Bundesliga
Laurenz Dehl,120000 ,2308 ,Union Berlin,21,Bundesliga
Noah Engelbreth,120000 ,2308 ,Union Berlin,18,Bundesliga
Yannic Stein,120000 ,2308 ,Union Berlin,18,Bundesliga
Brajan Gruda,120000 ,2308 ,Mainz 05,19,Bundesliga
Merveille Papela,120000 ,2308 ,Mainz 05,22,Bundesliga
Kenneth Schmidt,120000 ,2308 ,Freiburg,21,Bundesliga
Merlin Röhl,120000 ,2308 ,Freiburg,21,Bundesliga
Noah Atubolu,120000 ,2308 ,Freiburg,21,Bundesliga
Noah Weißhaupt,120000 ,2308 ,Freiburg,21,Bundesliga
Yannik Keitel,120000 ,2308 ,Freiburg,23,Bundesliga
Tim Köhler,120000 ,2308 ,RB Leipzig,18,Bundesliga
Timo Schlieck,120000 ,2308 ,RB Leipzig,17,Bundesliga
Paris Brunner,120000 ,2308 ,Dortmund,17,Bundesliga
Silas Ostrzinski,120000 ,2308 ,Dortmund,19,Bundesliga
Mats Pannewig,120000 ,2308 ,Bochum,18,Bundesliga
Mohammed Tolba,120000 ,2308 ,Bochum,19,Bundesliga
Moritz Broschinski,120000 ,2308 ,Bochum,22,Bundesliga
Moritz Römling,120000 ,2308 ,Bochum,22,Bundesliga
Matthias Köbbing,120000 ,2308 ,Köln,26,Bundesliga
Max Finkgräfe,120000 ,2308 ,Köln,19,Bundesliga
Noah Katterbach,120000 ,2308 ,Köln,22,Bundesliga
Harpreet Ghotra,120000 ,2308 ,Eint Frankfurt,21,Bundesliga
Mehdi Loune,120000 ,2308 ,Eint Frankfurt,19,Bundesliga
Madi Monamay,120000 ,2308 ,Leverkusen,17,Bundesliga
Álvaro Vallés,120000 ,2308 ,Las Palmas,26,La Liga
Fabio González,120000 ,2308 ,Las Palmas,26,La Liga
Kirian Rodríguez,120000 ,2308 ,Las Palmas,27,La Liga
Abdallahi Mahmoud,120000 ,2308 ,Alavés,23,La Liga
André Ferreira,120000 ,2308 ,Granada,27,La Liga
Hugo Sotelo,120000 ,2308 ,Celta Vigo,19,La Liga
Axel Guessand,120000 ,2308 ,Udinese,18,Serie A
Bruno Amione,120000 ,2308 ,Hellas Verona,21,Serie A
Charlys,120000 ,2308 ,Hellas Verona,19,Serie A
Léandre Kuavita,120000 ,2308 ,Genoa,19,Serie A
Daniel Macej,120000 ,2308 ,Frosinone,19,Serie A
Diego González,120000 ,2308 ,Lazio,20,Serie A
Lovro Stubljar,120000 ,2308 ,Empoli,19,Serie A
Trivante Stewart,120000 ,2308 ,Salernitana,23,Serie A
Emil Ceide,120000 ,2308 ,Sassuolo,21,Serie A
Alexandru Borbei,120000 ,2308 ,Lecce,20,Serie A
Jasper Samooja,120000 ,2308 ,Lecce,20,Serie A
Jeppe Corfitzen,120000 ,2308 ,Lecce,18,Serie A
Medon Berisha,120000 ,2308 ,Lecce,20,Serie A
Patrick Dorgu,120000 ,2308 ,Lecce,18,Serie A
Valentin Gendrey,120000 ,2308 ,Lecce,23,Serie A
Zinedin Smajlovic,120000 ,2308 ,Lecce,19,Serie A
Antoine Mendy,120000 ,2308 ,Nice,19,Ligue 1
Badredine Bouanani,120000 ,2308 ,Nice,18,Ligue 1
Daouda Traoré,120000 ,2308 ,Nice,17,Ligue 1
Reda Belahyane,120000 ,2308 ,Nice,19,Ligue 1
Teddy Boulhendi,120000 ,2308 ,Nice,22,Ligue 1
Tom Louchet,120000 ,2308 ,Nice,20,Ligue 1
Yannis Nahounou,120000 ,2308 ,Nice,19,Ligue 1
Dimitry Bertaud,120000 ,2308 ,Montpellier,25,Ligue 1
Enzo Tchato,120000 ,2308 ,Montpellier,20,Ligue 1
Joris Chotard,120000 ,2308 ,Montpellier,21,Ligue 1
Sacha Delaye,120000 ,2308 ,Montpellier,21,Ligue 1
Bonota Traoré,120000 ,2308 ,Toulouse,20,Ligue 1
Junior Flemmings,120000 ,2308 ,Toulouse,27,Ligue 1
Kévin Keben,120000 ,2308 ,Toulouse,20,Ligue 1
Kleri Serber,120000 ,2308 ,Toulouse,25,Ligue 1
Mamady Bangré,120000 ,2308 ,Toulouse,22,Ligue 1
Moussa Diarra,120000 ,2308 ,Toulouse,22,Ligue 1
Naatan Skyttä,120000 ,2308 ,Toulouse,21,Ligue 1
Noah Edjouma,120000 ,2308 ,Toulouse,17,Ligue 1
Noah Lahmadi,120000 ,2308 ,Toulouse,18,Ligue 1
Thijs Dallinga,120000 ,2308 ,Toulouse,22,Ligue 1
Thomas Himeur,120000 ,2308 ,Toulouse,23,Ligue 1
Simon Ngapandouetnbu,120000 ,2308 ,Marseille,20,Ligue 1
Alois Confais,120000 ,2308 ,Le Havre,26,Ligue 1
Andy Logbo,120000 ,2308 ,Le Havre,19,Ligue 1
Cheick Doumbia,120000 ,2308 ,Le Havre,18,Ligue 1
Mohamed Koné,120000 ,2308 ,Le Havre,21,Ligue 1
Mokrane Bentoumi,120000 ,2308 ,Le Havre,18,Ligue 1
Yoni Gomis,120000 ,2308 ,Le Havre,17,Ligue 1
Adama Bojang,120000 ,2308 ,Reims,19,Ligue 1
Thérence Koudou,120000 ,2308 ,Reims,19,Ligue 1
Valentin Atangana,120000 ,2308 ,Reims,18,Ligue 1
Mathis Lambourde,120000 ,2308 ,Rennes,18,Ligue 1
Alexandre Pierre,120000 ,2308 ,Strasbourg,22,Ligue 1
Lucas Perrin,120000 ,2308 ,Strasbourg,24,Ligue 1
Steven Baseya,120000 ,2308 ,Strasbourg,18,Ligue 1
Siriné Doucouré,120000 ,2308 ,Lorient,21,Ligue 1
Justin Bengui Joao,120000 ,2308 ,Lyon,18,Ligue 1
Bastien Meupiyou,120000 ,2308 ,Nantes,17,Ligue 1
Gor Manvelyan,120000 ,2308 ,Nantes,21,Ligue 1
Mohamed Achi,120000 ,2308 ,Nantes,21,Ligue 1
Rémy Descamps,120000 ,2308 ,Nantes,27,Ligue 1
Stredair Appuah,120000 ,2308 ,Nantes,19,Ligue 1
Yanis Massolin,120000 ,2308 ,Clermont Foot,20,Ligue 1
Danley Jean Jacques,120000 ,2308 ,Metz,23,Ligue 1
Ibou Sané,120000 ,2308 ,Metz,18,Ligue 1
Joseph Nduquidi,120000 ,2308 ,Metz,19,Ligue 1
Papa Amadou Diallo,120000 ,2308 ,Metz,19,Ligue 1
Sadibou Sané,120000 ,2308 ,Metz,19,Ligue 1
Antonin Cartillier,120000 ,2308 ,Brest,19,Ligue 1
Axel Camblan,120000 ,2308 ,Brest,20,Ligue 1
Josué Escartin,120000 ,2308 ,Brest,20,Ligue 1
Lilian Brassier,120000 ,2308 ,Brest,23,Ligue 1
Yan Marillat,120000 ,2308 ,Brest,29,Ligue 1
Ibrahima Baldé,120000 ,2308 ,Lens,20,Ligue 1
Nolan Bonte,120000 ,2308 ,Lens,19,Ligue 1
Eliot Matazo,120000 ,2308 ,Monaco,21,Ligue 1
Maghnes Akliouche,120000 ,2308 ,Monaco,21,Ligue 1
Yann Lienard,120000 ,2308 ,Monaco,20,Ligue 1
Yllan Okou,120000 ,2308 ,Monaco,20,Ligue 1
Justin Diehl,100000 ,1923 ,Köln,19,Bundesliga
Jelle Van Neck,100000 ,1923 ,Marseille,19,Ligue 1
Mamadou Diakhon,100000 ,1923 ,Reims,18,Ligue 1
Gavin Kilkenny,92328 ,1776 ,Bournemouth,23,Premier League
Max Wendt,90000 ,1731 ,Darmstadt 98,18,Bundesliga
Mahamadou Nagida,90000 ,1731 ,Rennes,18,Ligue 1
Nathaniel Adjei,90000 ,1731 ,Lorient,21,Ligue 1
Ylies Aradj,80000 ,1538 ,Toulouse,18,Ligue 1
Amadou Koné,80000 ,1538 ,Reims,18,Ligue 1
Luck Zogbé,80000 ,1538 ,Brest,18,Ligue 1
Jérémy Jacquet,70000 ,1346 ,Clermont Foot,18,Ligue 1
Louie Marsh,61552 ,1184 ,Sheffield Utd,20,Premier League
James Abankwah,60000 ,1154 ,Udinese,20,Serie A
Paul Pogba,42000 ,808 ,Juventus,30,Serie A
