Player,Market Value (Euros)
Stefan Bajcetic,11000000.0
Dominik Szoboszlai,75000000.0
Alexis Mac Allister,75000000.0
Curtis Jones,35000000.0
Harvey Elliott,35000000.0
Thiago Alcántara,10000000.0
Luis Díaz,75000000.0
Cody Gakpo,50000000.0
Mohamed Salah,55000000.0
Ben Doak,10000000.0
Darwin Núñez,70000000.0
Diogo Jota,50000000.0
Guglielmo Vicario,35000000.0
Hugo Lloris,1200000.0
Fraser Forster,1200000.0
Brandon Austin,600000.0
Alfie Whiteman,500000.0
Cristian Romero,60000000.0
Micky van de Ven,55000000.0
Radu Drăgușin,25000000.0
Eric Dier,12000000.0
Ben Davies,10000000.0
Ashley Phillips,2200000.0
Japhet Tanganga,1800000.0
Destiny Udogie,45000000.0
Sergio Reguilón,12000000.0
Ryan Sessegnon,10000000.0
Pedro Porro,45000000.0
Yves Bissouma,35000000.0
Rodrigo Bentancur,35000000.0
Oliver Skipp,15000000.0
Pape Matar Sarr,45000000.0
Giovani Lo Celso,16000000.0
James Maddison,70000000.0
Dejan Kulusevski,55000000.0
Timo Werner,17000000.0
Bryan Gil,14000000.0
Manor Solomon,13000000.0
Brennan Johnson,48000000.0
Richarlison,38000000.0
André Onana,35000000.0
Dean Henderson,12000000.0
Altay Bayındır,10000000.0
Tom Heaton,250000.0
Lisandro Martínez,45000000.0
Raphaël Varane,20000000.0
Harry Maguire,18000000.0
Victor Lindelöf,15000000.0
Willy Kambwala,5000000.0
Jonny Evans,2000000.0
Luke Shaw,32000000.0
Tyrell Malacia,18000000.0
Sergio Reguilón,12000000.0
Diogo Dalot,35000000.0
Aaron Wan-Bissaka,20000000.0
Sofyan Amrabat,22000000.0
Casemiro,20000000.0
Kobbie Mainoo,50000000.0
Scott McTominay,32000000.0
Christian Eriksen,8000000.0
Donny van de Beek,5000000.0
Bruno Fernandes,70000000.0
Mason Mount,35000000.0
Hannibal,9000000.0
Marcus Rashford,60000000.0
Alejandro Garnacho,45000000.0
Jadon Sancho,30000000.0
Antony,25000000.0
Amad Diallo,18000000.0
Facundo Pellistri,8000000.0
Shola Shoretire,4000000.0
Rasmus Højlund,65000000.0
Anthony Martial,10000000.0
Emiliano Martínez,28000000.0
Joe Gauci,1500000.0
Robin Olsen,1500000.0
Pau Torres,45000000.0
Ezri Konsa,35000000.0
Diego Carlos,16000000.0
Tyrone Mings,13000000.0
Clément Lenglet,10000000.0
Calum Chambers,4000000.0
Kortney Hause,2000000.0
Álex Moreno,13000000.0
Lucas Digne,12000000.0
Matty Cash,28000000.0
Boubacar Kamara,38000000.0
Leander Dendoncker,7000000.0
Douglas Luiz,70000000.0
John McGinn,30000000.0
Youri Tielemans,25000000.0
Tim Iroegbunam,4000000.0
Jacob Ramsey,35000000.0
Nicolò Zaniolo,20000000.0
Morgan Rogers,15000000.0
Moussa Diaby,55000000.0
Leon Bailey,42000000.0
Bertrand Traoré,9000000.0
Ollie Watkins,65000000.0
Jhon Durán,20000000.0
Cameron Archer,13000000.0
Nick Pope,16000000.0
Martin Dúbravka,1000000.0
